zip,area,value,tier
# US high-value home-area ZIPs (Zillow ZHVI). Regenerate with scripts/build_us_property.py.
# Lines starting with # are ignored. Tier: ultra (>= $2M) / prime (>= $1M) latest ZHVI.
84004,Alpine UT,1194219,prime
84036,Kamas UT,1008199,prime
84060,Park City UT,2175143,ultra
84061,Peoa UT,1065475,prime
84098,Park City UT,1362088,prime
85018,Phoenix AZ,1002630,prime
85253,Paradise Valley AZ,3292044,ultra
85255,Scottsdale AZ,1318720,prime
85259,Scottsdale AZ,1150025,prime
85262,Scottsdale AZ,1541127,prime
85264,Fort McDowell AZ,1203762,prime
85266,Scottsdale AZ,1294163,prime
85377,Carefree AZ,1232056,prime
87506,Santa Fe NM,1102674,prime
89161,Las Vegas NV,1015348,prime
89402,Incline Village NV,2855322,ultra
89411,Genoa NV,1146344,prime
89413,Glenbrook NV,3307729,ultra
89448,Zephyr Cove NV,1441294,prime
89451,Incline Village NV,1451590,prime
89511,Reno NV,1121725,prime
90004,Los Angeles CA,1433618,prime
90008,Los Angeles CA,1076795,prime
90019,Los Angeles CA,1222306,prime
90024,Los Angeles CA,1356467,prime
90025,Los Angeles CA,1077564,prime
90026,Los Angeles CA,1176700,prime
90027,Los Angeles CA,1810180,prime
90034,Los Angeles CA,1436005,prime
90035,Los Angeles CA,1631206,prime
90036,Los Angeles CA,1845336,prime
90038,Los Angeles CA,1046641,prime
90039,Los Angeles CA,1364692,prime
90041,Los Angeles CA,1288026,prime
90042,Los Angeles CA,1005267,prime
90045,Los Angeles CA,1499830,prime
90046,Los Angeles CA,1475017,prime
90048,Los Angeles CA,1766384,prime
90049,Los Angeles CA,2988305,ultra
90056,Ladera Heights CA,1669941,prime
90064,Los Angeles CA,1856684,prime
90065,Los Angeles CA,1109984,prime
90066,Los Angeles CA,1717641,prime
90067,Los Angeles CA,1593932,prime
90068,Los Angeles CA,1652986,prime
90069,West Hollywood CA,1270019,prime
90077,Los Angeles CA,3079109,ultra
90094,Los Angeles CA,1355555,prime
90210,Beverly Hills CA,5242275,ultra
90211,Beverly Hills CA,2238235,ultra
90212,Beverly Hills CA,2420229,ultra
90230,Culver City CA,1090242,prime
90232,Culver City CA,1746630,prime
90245,El Segundo CA,1767228,prime
90254,Hermosa Beach CA,2268652,ultra
